time=38 turn=0 simulate_cnt=66 simulate_sum=66
time=1655 turn=73 simulate_cnt=359 simulate_sum=21991
time=1666 turn=74 simulate_cnt=331 simulate_sum=22322
time=1677 turn=75 simulate_cnt=341 simulate_sum=22663
time=1688 turn=76 simulate_cnt=359 simulate_sum=23022
time=1699 turn=77 simulate_cnt=383 simulate_sum=23405
time=1710 turn=78 simulate_cnt=391 simulate_sum=23796
time=1720 turn=79 simulate_cnt=321 simulate_sum=24117
time=1730 turn=80 simulate_cnt=371 simulate_sum=24488
time=1740 turn=81 simulate_cnt=412 simulate_sum=24900
time=1750 turn=82 simulate_cnt=433 simulate_sum=25333
time=1760 turn=83 simulate_cnt=444 simulate_sum=25777
time=1770 turn=84 simulate_cnt=480 simulate_sum=26257
time=1779 turn=85 simulate_cnt=432 simulate_sum=26689
time=1788 turn=86 simulate_cnt=457 simulate_sum=27146
time=1797 turn=87 simulate_cnt=479 simulate_sum=27625
time=1806 turn=88 simulate_cnt=526 simulate_sum=28151
time=1815 turn=89 simulate_cnt=563 simulate_sum=28714
time=1824 turn=90 simulate_cnt=605 simulate_sum=29319
time=1833 turn=91 simulate_cnt=607 simulate_sum=29926
time=1842 turn=92 simulate_cnt=743 simulate_sum=30669
time=1850 turn=93 simulate_cnt=716 simulate_sum=31385
time=1858 turn=94 simulate_cnt=788 simulate_sum=32173
time=1866 turn=95 simulate_cnt=861 simulate_sum=33034
time=1874 turn=96 simulate_cnt=927 simulate_sum=33961
time=1882 turn=97 simulate_cnt=911 simulate_sum=34872
time=1891 turn=98 simulate_cnt=1414 simulate_sum=36286
time=1900 turn=99 simulate_cnt=1441 simulate_sum=37727
