time=19 turn=0 simulate_cnt=42 simulate_sum=42
time=1463 turn=76 simulate_cnt=620 simulate_sum=23081
time=1482 turn=77 simulate_cnt=714 simulate_sum=23795
time=1501 turn=78 simulate_cnt=706 simulate_sum=24501
time=1520 turn=79 simulate_cnt=702 simulate_sum=25203
time=1539 turn=80 simulate_cnt=733 simulate_sum=25936
time=1558 turn=81 simulate_cnt=775 simulate_sum=26711
time=1577 turn=82 simulate_cnt=897 simulate_sum=27608
time=1596 turn=83 simulate_cnt=844 simulate_sum=28452
time=1615 turn=84 simulate_cnt=904 simulate_sum=29356
time=1634 turn=85 simulate_cnt=902 simulate_sum=30258
time=1654 turn=86 simulate_cnt=1033 simulate_sum=31291
time=1672 turn=87 simulate_cnt=1009 simulate_sum=32300
time=1691 turn=88 simulate_cnt=1336 simulate_sum=33636
time=1710 turn=89 simulate_cnt=1278 simulate_sum=34914
time=1729 turn=90 simulate_cnt=1396 simulate_sum=36310
time=1748 turn=91 simulate_cnt=1255 simulate_sum=37565
time=1767 turn=92 simulate_cnt=1735 simulate_sum=39300
time=1786 turn=93 simulate_cnt=1811 simulate_sum=41111
time=1805 turn=94 simulate_cnt=2136 simulate_sum=43247
time=1824 turn=95 simulate_cnt=2386 simulate_sum=45633
time=1843 turn=96 simulate_cnt=2542 simulate_sum=48175
time=1862 turn=97 simulate_cnt=2825 simulate_sum=51000
time=1881 turn=98 simulate_cnt=3027 simulate_sum=54027
time=1900 turn=99 simulate_cnt=3069 simulate_sum=57096
