time=19 turn=0 simulate_cnt=32 simulate_sum=32
time=684 turn=35 simulate_cnt=161 simulate_sum=4723
time=703 turn=36 simulate_cnt=173 simulate_sum=4896
time=722 turn=37 simulate_cnt=170 simulate_sum=5066
time=741 turn=38 simulate_cnt=174 simulate_sum=5240
time=760 turn=39 simulate_cnt=181 simulate_sum=5421
time=779 turn=40 simulate_cnt=170 simulate_sum=5591
time=798 turn=41 simulate_cnt=178 simulate_sum=5769
time=817 turn=42 simulate_cnt=181 simulate_sum=5950
time=836 turn=43 simulate_cnt=192 simulate_sum=6142
time=855 turn=44 simulate_cnt=195 simulate_sum=6337
time=874 turn=45 simulate_cnt=193 simulate_sum=6530
time=893 turn=46 simulate_cnt=200 simulate_sum=6730
time=912 turn=47 simulate_cnt=196 simulate_sum=6926
time=931 turn=48 simulate_cnt=200 simulate_sum=7126
time=950 turn=49 simulate_cnt=216 simulate_sum=7342
time=969 turn=50 simulate_cnt=206 simulate_sum=7548
time=988 turn=51 simulate_cnt=230 simulate_sum=7778
time=1007 turn=52 simulate_cnt=232 simulate_sum=8010
time=1026 turn=53 simulate_cnt=233 simulate_sum=8243
time=1045 turn=54 simulate_cnt=239 simulate_sum=8482
time=1064 turn=55 simulate_cnt=239 simulate_sum=8721
time=1083 turn=56 simulate_cnt=264 simulate_sum=8985
time=1102 turn=57 simulate_cnt=255 simulate_sum=9240
time=1121 turn=58 simulate_cnt=271 simulate_sum=9511
time=1140 turn=59 simulate_cnt=262 simulate_sum=9773
time=1159 turn=60 simulate_cnt=267 simulate_sum=10040
time=1178 turn=61 simulate_cnt=274 simulate_sum=10314
time=1197 turn=62 simulate_cnt=294 simulate_sum=10608
time=1216 turn=63 simulate_cnt=299 simulate_sum=10907
time=1235 turn=64 simulate_cnt=308 simulate_sum=11215
time=1254 turn=65 simulate_cnt=322 simulate_sum=11537
time=1273 turn=66 simulate_cnt=305 simulate_sum=11842
time=1292 turn=67 simulate_cnt=347 simulate_sum=12189
time=1311 turn=68 simulate_cnt=333 simulate_sum=12522
time=1330 turn=69 simulate_cnt=349 simulate_sum=12871
time=1349 turn=70 simulate_cnt=363 simulate_sum=13234
time=1368 turn=71 simulate_cnt=360 simulate_sum=13594
time=1387 turn=72 simulate_cnt=345 simulate_sum=13939
time=1406 turn=73 simulate_cnt=379 simulate_sum=14318
time=1425 turn=74 simulate_cnt=403 simulate_sum=14721
time=1444 turn=75 simulate_cnt=435 simulate_sum=15156
time=1463 turn=76 simulate_cnt=404 simulate_sum=15560
time=1482 turn=77 simulate_cnt=464 simulate_sum=16024
time=1501 turn=78 simulate_cnt=456 simulate_sum=16480
time=1520 turn=79 simulate_cnt=475 simulate_sum=16955
time=1539 turn=80 simulate_cnt=487 simulate_sum=17442
time=1558 turn=81 simulate_cnt=494 simulate_sum=17936
time=1577 turn=82 simulate_cnt=544 simulate_sum=18480
time=1596 turn=83 simulate_cnt=528 simulate_sum=19008
time=1615 turn=84 simulate_cnt=580 simulate_sum=19588
time=1634 turn=85 simulate_cnt=614 simulate_sum=20202
time=1653 turn=86 simulate_cnt=626 simulate_sum=20828
time=1672 turn=87 simulate_cnt=646 simulate_sum=21474
time=1691 turn=88 simulate_cnt=812 simulate_sum=22286
time=1710 turn=89 simulate_cnt=755 simulate_sum=23041
time=1729 turn=90 simulate_cnt=880 simulate_sum=23921
time=1748 turn=91 simulate_cnt=949 simulate_sum=24870
time=1767 turn=92 simulate_cnt=1021 simulate_sum=25891
time=1786 turn=93 simulate_cnt=1083 simulate_sum=26974
time=1805 turn=94 simulate_cnt=1209 simulate_sum=28183
time=1824 turn=95 simulate_cnt=1499 simulate_sum=29682
time=1843 turn=96 simulate_cnt=1416 simulate_sum=31098
time=1862 turn=97 simulate_cnt=1732 simulate_sum=32830
time=1881 turn=98 simulate_cnt=1690 simulate_sum=34520
time=1900 turn=99 simulate_cnt=1969 simulate_sum=36489
